6.098582375,Healthy
6.401814382,Healthy
6.301465402,Healthy
5.985073157,Healthy
6.407856649,Healthy
6.129976889,Healthy
6.421486566,Healthy
6.102329085,Healthy
6.246901021,Healthy
6.269069044,Healthy
6.175769016,Healthy
6.034639078,Healthy
6.179300383,Healthy
6.23649177,Healthy
6.278908621,Healthy
6.077126119,Healthy
6.293375343,Healthy
6.004377593,Healthy
6.308023311,Healthy
6.053395664,Healthy
5.939967566,Healthy
5.96003006,Healthy
6.125736281,Healthy
5.757806291,Healthy
6.022074826,Healthy
6.061743417,Healthy
6.293756019,Healthy
6.055680666,Healthy
6.872214948,Healthy
6.103839906,Healthy
5.850361288,Healthy
5.998354395,Healthy
5.791557644,Healthy
6.124247301,Healthy
5.852136508,Healthy
6.150475767,Healthy
6.257508398,Healthy
5.95556372,Healthy
6.126197131,Healthy
6.013510878,Healthy
5.927568969,Healthy
6.028179913,Healthy
6.147548775,Healthy
5.884112193,Healthy
6.353728617,Healthy
5.760856054,Healthy
6.023383993,Healthy
6.465216426,Healthy
5.894586452,Healthy
5.700790942,Healthy
6.156545049,Healthy
6.102067591,Healthy
6.116595292,Healthy
6.296683521,Healthy
5.892187031,Healthy
6.217655154,Healthy
5.503120523,Healthy
6.111667003,Healthy
6.364180976,Healthy
5.859805695,Healthy
5.692746163,Healthy
6.040789198,Healthy
6.114372108,Healthy
6.24088102,Healthy
6.074359443,Healthy
5.767184978,Healthy
6.281391715,Healthy
6.250095497,Healthy
5.998963476,Healthy
5.873361495,Healthy
5.951488375,Healthy
6.061758368,Healthy
6.009000079,Healthy
6.269308735,Healthy
6.327057785,Healthy
6.044661567,Healthy
5.71770497,Healthy
5.906446245,Healthy
6.340055677,Healthy
6.12925807,Healthy
6.239293568,Healthy
6.234332028,Healthy
5.769881747,Healthy
5.777692082,Healthy
5.853064849,Healthy
6.263278839,Healthy
5.858521325,Healthy
5.937526031,Healthy
5.956679023,Healthy
5.70853231,Healthy
6.494777106,Healthy
5.659420727,Healthy
6.520128534,Healthy
6.029391384,Healthy
6.017501012,Healthy
6.02350469,Healthy
6.038460261,Healthy
6.06702065,Healthy
5.992364036,Healthy
6.0389142,Healthy
4.730500168,P1
4.785839815,P1
4.654968608,P1
4.214959892,P1
4.564916379,P1
4.775249433,P1
4.251019478,P1
4.449376857,P1
4.732483329,P1
4.623918099,P1
4.758696787,P1
4.697303879,P1
4.415431562,P1
4.926305484,P1
4.572992153,P1
4.760013706,P1
4.836385382,P1
4.789603385,P1
5.171943379,P1
5.78241862,P1
7.246798038,P1
4.524861738,P1
4.619001688,P1
4.718994666,P1
4.672981127,P1
4.518662551,P1
4.480038326,P1
4.532119944,P1
4.719355931,P1
4.996287246,P1
5.102813773,P1
4.874875714,P1
4.352359097,P1
4.406123149,P1
4.750201905,P1
